arquitectura,loss,val_loss,accuracy,val_accuracy,epoch
"[30, 50, 50, 'sigmoid', 0.2]",0.1858099699020385,0.1788322925567627,0.7043343782424927,0.7160493731498718,8027
"[20, 20, 0, 'relu', 0.3]",0.209680899977684,0.1982980668544769,0.6904024481773376,0.7129629850387573,1
"[20, 20, 0, 'relu', 0.2]",0.1913202852010727,0.1871906965970993,0.6873065233230591,0.6944444179534912,19
"[20, 0, 0, 'relu', 0.3]",0.1861538887023925,0.1916879117488861,0.7174922823905945,0.6913580298423767,51
"[20, 0, 0, 'relu', 0.2]",0.1876780837774276,0.191273882985115,0.7174922823905945,0.6944444179534912,15
"[10, 0, 0, 'relu', 0.2]",0.1865670680999755,0.19172403216362,0.7174922823905945,0.6913580298423767,34
"[20, 0, 0, 'relu', 0.1]",0.1866575479507446,0.1903904229402542,0.7174922823905945,0.6944444179534912,34
"[20, 20, 0, 'sigmoid', 0.3]",0.1838170289993286,0.1901937127113342,0.7159442901611328,0.6913580298423767,1354
"[30, 30, 30, 'sigmoid', 0.3]",0.1845763176679611,0.1902418136596679,0.7167182564735413,0.6882715821266174,588
"[30, 30, 30, 'sigmoid', 0.2]",0.1839242428541183,0.1903676986694336,0.7167182564735413,0.6820987462997437,1400
"[50, 50, 50, 'sigmoid', 0.2]",0.1842676997184753,0.1902956515550613,0.7167182564735413,0.6882715821266174,949
"[50, 50, 50, 'sigmoid', 0.2, 32]",0.1834937185049057,0.1908654272556305,0.7159442901611328,0.6851851940155029,2743
"[50, 50, 50, 'relu', 0.2]",0.1881525665521621,0.191072791814804,0.7120742797851562,0.6944444179534912,15
"[30, 50, 50, 'relu', 0.2]",0.1879757791757583,0.1893569231033325,0.7136222720146179,0.6913580298423767,15
"[30, 30, 0, 'relu', 0.2]",0.1874582320451736,0.1894695162773132,0.7151702642440796,0.6913580298423767,16
"[30, 30, 0, 'relu', 0.3]",0.188465267419815,0.1911484599113464,0.7128483057022095,0.6913580298423767,10
"[30, 50, 50, 'sigmoid', 0.2]",0.1842793226242065,0.190405935049057,0.7167182564735413,0.6820987462997437,1044
"[20, 10, 0, 'relu', 0.2]",0.1869446188211441,0.1910769939422607,0.7105262875556946,0.6913580298423767,30
"[20, 30, 0, 'relu', 0.2]",0.1865567564964294,0.1894607245922088,0.7120742797851562,0.6944444179534912,28
"[20, 50, 0, 'relu', 0.2]",0.1870688796043396,0.1897303611040115,0.7120742797851562,0.6913580298423767,25
"[30, 50, 0, 'relu', 0.2]",0.1895410418510437,0.1908996701240539,0.7105262875556946,0.6913580298423767,9
"[100, 100, 0, 'relu', 0.2]",0.1871145218610763,0.1894688755273819,0.7105262875556946,0.6913580298423767,20
"[50, 100, 0, 'relu', 0.2]",0.18882940709590912,0.18987923860549927,0.7097523212432861,0.6913580298423767,11
